Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
K20	1.98e-05	11	9061.894915218945	12	0.7183333333333333	32	5.76e-05
K21	1.98e-05	11	4776.036418525849	15	0.8210000000000001	32	5.76e-05
K22	1.98e-05	11		15	0.7706666666666667	24	4.32e-05
K23	1.98e-05	11	3666.8276032431218	17	0.7203333333333334	32	5.76e-05
K24	1.8e-05	10	18634.80223055994	11	0.8013333333333333	32	5.76e-05
L1	1.8e-05	10	14244.040895879787	15	0.75	32	5.76e-05
L2	1.98e-05	11	7675.221844857185	16	0.8023333333333333	32	5.76e-05
L3	1.98e-05	11	6754.63254556592	16	0.7156666666666666	32	5.76e-05
L4	1.8e-05	10	5697.40846596031	11	0.8166666666666665	32	5.76e-05
L5	1.98e-05	11	4461.27220680991	17	0.7200000000000001	32	5.76e-05
L6	1.98e-05	11	3850.019258149817	21	0.7240000000000001	32	5.76e-05
L7	1.8e-05	10	97368.42096479851	10	1.128	31	5.58e-05
L8	1.8e-05	10	80011.1486318497	10	0.7549999999999999	32	5.76e-05
L9	1.98e-05	11	9094.19841190315	12	0.7106666666666666	31	5.58e-05
L10	1.98e-05	11	7342.053100849657	12	0.7126666666666667	32	5.76e-05
L11	1.8e-05	10	144001.9031524824	10	0.8266666666666667	18	3.24e-05
L12	1.98e-05	11	67571.39494338544	11	0.7053333333333334	25	4.5e-05
L13	1.98e-05	11	74662.62988709117	11	0.9553333333333334	30	5.4e-05
L14	1.98e-05	11	5391.687191490892	17	0.8836666666666666	29	5.22e-05
L15	1.98e-05	11	7877.884332392471	15	0.781	32	5.76e-05
L16	1.98e-05	11	7302.063800964131	15	0.8166666666666665	32	5.76e-05
L17	1.98e-05	11	74992.62596444189	11	0.7879999999999999	26	4.68e-05
L18	2.52e-05	14		18	0.5626666666666668	30	5.4e-05
L19	1.98e-05	11	3630.4755677179587	16	0.7073333333333333	32	5.76e-05
L20	1.98e-05	11	70936.07906800744	11	0.7253333333333334	32	5.76e-05
L21	1.98e-05	11	1287.711706771921	16	0.7936666666666667	29	5.22e-05
L22	1.98e-05	11	3368.939280398748	16	0.6713333333333334	32	5.76e-05
L23	1.98e-05	11	6270.674383872557	12	0.7013333333333333	32	5.76e-05
L24	1.98e-05	11	68633.3183069529	11	0.6930000000000001	32	5.76e-05
M1	1.8e-05	10	14161.068770777318	16	0.7633333333333333	32	5.76e-05
M2	1.8e-05	10	10951.09023750817	11	0.815	32	5.76e-05
M3	1.98e-05	11	7556.493452839703	15	0.7263333333333334	32	5.76e-05
M4	1.8e-05	10	88002.45285447378	10	0.8496666666666667	25	4.5e-05
M5	1.98e-05	11	69863.31444079544	11	0.7423333333333333	32	5.76e-05
M6	1.98e-05	11	65379.53927450569	11	0.7116666666666666	32	5.76e-05
M7	1.98e-05	11	3048.8133269635728	16	0.7076666666666666	32	5.76e-05
M8	1.98e-05	11		12	0.8166666666666665	22	3.96e-05
M9	2.16e-05	12	3721.333630618605	17	0.706	32	5.76e-05
M10	1.98e-05	11	65874.41768421665	11	0.7026666666666666	32	5.76e-05
M11	1.98e-05	11	2991.571350239052	15	0.6893333333333334	29	5.22e-05
M12	1.8e-05	10		14	0.7426666666666666	23	4.14e-05
M13	1.98e-05	11	9964.957700419905	17	1.0259999999999998	32	5.76e-05
M14	1.98e-05	11	6113.528607416844	17	0.9136666666666667	32	5.76e-05
M15	1.98e-05	11	71553.30776669394	11	0.7119999999999999	32	5.76e-05
M16	1.98e-05	11	68277.6059852371	11	0.8063333333333335	32	5.76e-05
M17	1.98e-05	11	13644.239308712175	12	0.7846666666666667	30	5.4e-05
M18	1.98e-05	11	5223.529265772457	13	0.749	24	4.32e-05
M19	1.98e-05	11		14	0.6103333333333333	17	3.06e-05
M20	1.98e-05	11	4427.623710253436	16	0.6803333333333335	32	5.76e-05
M21	1.98e-05	11	5195.1864632955985	12	0.802	32	5.76e-05
M22	1.98e-05	11	11996.267572537807	13	0.7503333333333333	24	4.32e-05
M23	1.98e-05	11		23	0.7200000000000001	32	5.76e-05
M24	1.8e-05	10	18925.69523084762	14	0.8106666666666666	32	5.76e-05
N1	1.8e-05	10	12043.852629254936	14	0.7826666666666666	32	5.76e-05
N2	1.8e-05	10	8339.652452269167	16	0.8026666666666666	32	5.76e-05
N3	1.98e-05	11	11554.52801018557	12	0.7103333333333333	32	5.76e-05
N4	1.8e-05	10	84636.46277512667	10	0.8156666666666665	31	5.58e-05
N5	1.98e-05	11	6263.033579615886	16	0.7239999999999999	32	5.76e-05
N6	1.98e-05	11	68779.99416426806	11	0.7056666666666667	32	5.76e-05
N7	1.8e-05	10	95733.30029800186	10	1.1566666666666665	32	5.76e-05
N8	1.98e-05	11	68095.7208321059	11	0.7319999999999999	28	5.04e-05
N9	1.98e-05	11	6438.093021267899	15	0.7173333333333334	32	5.76e-05
N10	1.98e-05	11	8355.93874312167	12	0.7079999999999999	32	5.76e-05
N11	1.98e-05	11		12	0.8353333333333333	22	3.96e-05
N12	1.8e-05	10	79292.11166051729	10	0.7043333333333334	32	5.76e-05
N13	1.98e-05	11	3451.496469514988	17	0.9786666666666667	32	5.76e-05
N14	1.98e-05	11	5421.646612080556	17	0.8756666666666667	32	5.76e-05
N15	1.98e-05	11	5943.94287435529	16	0.7566666666666667	32	5.76e-05
N16	1.98e-05	11	65669.4386562082	11	0.7886666666666667	32	5.76e-05
N17	1.98e-05	11	76139.97750422616	11	0.7879999999999999	26	4.68e-05
N18	2.34e-05	13		16	0.5066666666666667	19	3.42e-05
N19	1.98e-05	11	8092.430255325245	12	0.698	32	5.76e-05
N20	1.98e-05	11	7009.991669971409	12	0.7546666666666666	32	5.76e-05
N21	1.98e-05	11	4563.7196433196295	15	0.8286666666666666	30	5.4e-05
