	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
116	E21	1.26e-05	7	66330.77929811525	9	0.8036666666666669	31	5.58e-05
117	E22	1.08e-05	6	1925.8721017791395	11	0.7543333333333333	24	4.32e-05
118	E23	1.08e-05	6	80332.33502685443	10	0.7213333333333333	32	5.76e-05
119	E24	1.08e-05	6	72730.1297139961	10	0.7880000000000001	32	5.76e-05
120	F1	2.16e-05	12	12233.036897681493	14	0.7436666666666666	32	5.76e-05
121	F2	1.26e-05	7	38107.62422156463	10	0.8266666666666667	32	5.76e-05
122	F3	1.08e-05	6	152695.12097414065	9	0.7160000000000001	32	5.76e-05
123	F4	1.26e-05	7	13970.062771514635	9	0.7773333333333333	26	4.68e-05
124	F5	1.26e-05	7	14962.130718777655	10	0.7523333333333334	32	5.76e-05
125	F6	1.26e-05	7	-6767.767037531089	10	0.71	32	5.76e-05
126	F7	1.26e-05	7	39837.78833058064	10	1.1426666666666667	32	5.76e-05
127	F8	1.26e-05	7	10314.178533105975	10	0.7473333333333333	27	4.86e-05
128	F9	1.08e-05	6	33266.768703456335	10	0.7146666666666666	31	5.58e-05
129	F10	1.26e-05	7	2602.211357960385	12	0.7080000000000001	29	5.22e-05
130	F11	1.08e-05	6	56386.08932451564	10	0.8846666666666666	18	3.24e-05
131	F12	1.08e-05	6	3306.35631129409	15	0.7123333333333334	31	5.58e-05
132	F13	1.44e-05	8	7922.723475854365	17	0.9463333333333334	27	4.86e-05
133	F14	1.08e-05	6	35966.69649600948	11	0.89	28	5.04e-05
134	F15	1.26e-05	7	252.73945370965035	10	0.7963333333333334	32	5.76e-05
135	F16	1.26e-05	7	20334.45771949309	10	0.8126666666666665	32	5.76e-05
136	F17	1.08e-05	6	2104.591313230252	12	0.8113333333333334	24	4.32e-05
137	F18	1.44e-05	8	-6842.4105525316745	13	0.584	31	5.58e-05
138	F19	1.08e-05	6		11	0.582	15	2.7e-05
139	F20	1.26e-05	7	35804.38846936553	9	0.7333333333333333	32	5.76e-05
140	F21	1.44e-05	8	17551.16730353462	11	0.8063333333333333	31	5.58e-05
141	F22	1.26e-05	7	13903.646234016041	11	0.7053333333333333	31	5.58e-05
142	F23	1.08e-05	6		13	0.5533333333333333	15	2.7e-05
143	F24	1.26e-05	7	25162.258564443113	12	0.7076666666666666	32	5.76e-05
144	G1	1.26e-05	7	47578.67360972979	11	0.7643333333333334	32	5.76e-05
