	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
250	K9	12600.0	7.0	9.552681966747782e-06	17.0	0.854	48	86400.0
251	K10	12600.0	7.0	5.7221571493348054e-05	10.0	0.8166666666666668	47	84600.0
252	K11	16200.0	9.0	1.1632039824154377e-05	14.0	0.48666666666666664	25	45000.0
253	K12	12600.0	7.0	1.0453647113310809e-05	16.0	1.0236666666666665	41	73800.0
254	K13					0.11566666666666668	44	79200.0
255	K14	12600.0	7.0	7.487992405646195e-06	19.0	0.882	48	86400.0
256	K15	12600.0	7.0	4.359603789349947e-05	11.0	0.839	46	82800.0
257	K16	16200.0	9.0	2.3209810755847076e-05	12.0	0.8533333333333334	47	84600.0
258	K17	12600.0	7.0	4.460497990520314e-05	13.0	1.027	34	61200.0
259	K18	14400.0	8.0	6.738949709937725e-06	16.0	0.832	48	86400.0
260	K19	14400.0	8.0	7.2870183764159936e-06	16.0	0.8103333333333333	47	84600.0
261	K20	16200.0	9.0	7.398913515641685e-06	20.0	0.8329999999999999	48	86400.0
262	K21	10800.0	6.0	2.1946431184786667e-05	12.0	0.907	35	63000.0
263	K22	12600.0	7.0	5.250675378578585e-06	20.0	0.919	48	86400.0
264	K23	18000.0	10.0	3.3773261908883683e-06	14.0	0.5256666666666666	26	46800.0
265	K24	14400.0	8.0	1.6166182807181733e-05	20.0	1.1196666666666666	48	86400.0
266	L1	14400.0	8.0	6.508895575375496e-05	10.0	0.9273333333333333	48	86400.0
267	L2	14400.0	8.0	5.9217763267578365e-05	10.0	0.8563333333333333	48	86400.0
268	L3	12600.0	7.0	1.3246480013994625e-05	16.0	0.8206666666666665	48	86400.0
269	L4	14400.0	8.0	5.426847532979842e-05	11.0	0.8996666666666666	40	72000.0
270	L5	16200.0	9.0	6.642328611180248e-06	20.0	0.8726666666666666	48	86400.0
271	L6	12600.0	7.0	9.508754181557987e-06	19.0	0.8453333333333334	48	86400.0
272	L7	14400.0	8.0	4.279107392526009e-05	11.0	1.1286666666666665	35	63000.0
273	L8	14400.0	8.0	4.8775456215500036e-05	10.0	0.894	47	84600.0
274	L9	14400.0	8.0	3.712779568195298e-06	19.0	0.8563333333333333	48	86400.0
275	L10	12600.0	7.0	6.9886562074617996e-06	18.0	0.8526666666666666	48	86400.0
276	L11	16200.0	9.0	1.2018386308569945e-05	13.0	0.5139999999999999	22	39600.0
277	L12	14400.0	8.0	6.101691607721583e-06	18.0	0.883	48	86400.0
278	L13					0.12366666666666666	47	84600.0
279	L14					0.09333333333333334	48	86400.0
280	L15	16200.0	9.0	7.611784629332125e-06	18.0	0.7506666666666666	42	75600.0
281	L16	14400.0	8.0	4.251586292896821e-05	11.0	0.8743333333333333	48	86400.0
